"","Estimate","Std. Error","df","t value","Pr(>|t|)","term","ci_lo","ci_hi"
"(Intercept)",-4.94635108835812,0.129065222512254,1074.01354714802,-38.324430021329,3.19535340899025e-203,"(Intercept)",-5.19931427613879,-4.69338790057746
"race5cHispanic",-0.0645571030100491,0.0432383364608313,15.5423989653475,-1.49305242278527,0.155444407136932,"race5cHispanic",-0.149302685224704,0.0201884792046054
"race5cOther/Asian",-0.0224858771176944,0.0451736687727756,19.7393495234358,-0.497765130186764,0.624149486243587,"race5cOther/Asian",-0.111024640961876,0.0660528867264875
"race5cWhite",-0.0361454357801871,0.0388832176140868,11.0903713076013,-0.929589627559325,0.372375248949957,"race5cWhite",-0.112355141906831,0.0400642703464564
"gender3Woman",0.196102535110586,0.0283294102768232,9.82317944040634,6.92222440193259,4.46548283094388e-05,"gender3Woman",0.140577911264753,0.251627158956418
"gender3Gender Minority",0.0646802647724701,0.0862411735021566,129.557174948302,0.749992864728965,0.454618808726215,"gender3Gender Minority",-0.104349329276227,0.233709858821167
"income3Low",0.136565650650237,0.0361935958431447,12.3357239461935,3.77319930415544,0.00253534655096133,"income3Low",0.0656275063266746,0.207503794973799
"income3Middle",0.0561550095670868,0.0345893889866739,9.92173201190206,1.62347503706184,0.135792477882175,"income3Middle",-0.0116389470940403,0.123948966228214
"age_c",0.00154011505186816,0.000520740807885207,14463.1580097589,2.95754630431741,0.00310599590352267,"age_c",0.00051948182313286,0.00256074828060345
"log_bmi",1.58341636387612,0.0361196798186357,14199.1505099608,43.8380509413921,0,"log_bmi",1.51262309229848,1.65420963545377
"ever_smoker",0.0135818818470543,0.0157123698851075,14492.6550459272,0.864406957471609,0.387378678719161,"ever_smoker",-0.0172137972395282,0.0443775609336368
"education3Low",0.156932477800632,0.0255948369892353,13927.6486404237,6.13141149782022,8.94558650369767e-10,"education3Low",0.106767519111557,0.207097436489707
"education3Middle",0.0711827830909533,0.0190443849652098,14586.9091880076,3.73773073905982,0.000186397641599296,"education3Middle",0.033856474451426,0.108509091730481
