"position","n","n_over10","pct_over10"
"Hispanic | Man | Low",388,143,36.9
"Black | Woman | Low",868,314,36.2
"Black | Man | Low",424,148,34.9
"Other/Asian | Man | Low",151,48,31.8
"Hispanic | Woman | Low",880,275,31.2
"White | Man | Low",939,253,26.9
"White | Woman | Low",1399,377,26.9
"Black | Man | Middle",250,67,26.8
"Black | Woman | Middle",457,115,25.2
"Hispanic | Man | Middle",340,85,25
"Hispanic | Woman | Middle",432,99,22.9
"White | Man | Middle",2026,460,22.7
"All Races | Gender Minority | Middle",59,13,22
"Other/Asian | Woman | Low",253,55,21.7
"Black | Woman | High",161,33,20.5
"Other/Asian | Man | Middle",268,54,20.1
"White | Woman | Middle",2390,433,18.1
"Other/Asian | Woman | Middle",305,54,17.7
"All Races | Gender Minority | Low",74,13,17.6
"All Races | Gender Minority | High",32,5,15.6
"Hispanic | Man | High",168,23,13.7
"White | Man | High",2444,326,13.3
"White | Woman | High",2817,360,12.8
"Hispanic | Woman | High",234,29,12.4
"Other/Asian | Man | High",307,38,12.4
"Black | Man | High",103,12,11.7
"Other/Asian | Woman | High",294,30,10.2
