"race_all","n_race_cats","ethnicity","race5c","n"
"What Race Ethnicity: White",1,"Not","White",405367
"What Race Ethnicity: Black",1,"Not","Black",113055
"What Race Ethnicity: Hispanic",1,"Hispanic/Latino","Hispanic",111246
"What Race Ethnicity: Asian",1,"Not","Other/Asian",27074
"What Race Ethnicity: Hispanic,What Race Ethnicity: White",2,"Hispanic/Latino","Hispanic",12992
"What Race Ethnicity: AIAN,What Race Ethnicity: White",2,"Not","Other/Asian",10960
"PMI: Skip",1,"Not","Other/Asian",8955
"What Race Ethnicity: Race Ethnicity None Of These",1,"Not","Other/Asian",8095
"What Race Ethnicity: AIAN",1,"Not","Other/Asian",7789
"What Race Ethnicity: Black,What Race Ethnicity: White",2,"Not","Black",4676
"PMI: Prefer Not To Answer",1,"Not","Other/Asian",4106
"What Race Ethnicity: MENA",1,"Not","Other/Asian",4075
"What Race Ethnicity: Asian,What Race Ethnicity: White",2,"Not","Other/Asian",4009
"What Race Ethnicity: AIAN,What Race Ethnicity: Black",2,"Not","Black",3210
"What Race Ethnicity: AIAN,What Race Ethnicity: Hispanic",2,"Hispanic/Latino","Hispanic",2872
"What Race Ethnicity: MENA,What Race Ethnicity: White",2,"Not","Other/Asian",2598
"What Race Ethnicity: Black,What Race Ethnicity: Hispanic",2,"Hispanic/Latino","Hispanic",2471
"What Race Ethnicity: AIAN,What Race Ethnicity: Hispanic,What Race Ethnicity: White",3,"Hispanic/Latino","Hispanic",2292
"What Race Ethnicity: AIAN,What Race Ethnicity: Black,What Race Ethnicity: White",3,"Not","Black",1965
"What Race Ethnicity: Black,What Race Ethnicity: Hispanic,What Race Ethnicity: White",3,"Hispanic/Latino","Hispanic",1339
"What Race Ethnicity: NHPI",1,"Not","Other/Asian",764
"What Race Ethnicity: Asian,What Race Ethnicity: Hispanic",2,"Hispanic/Latino","Hispanic",680
"What Race Ethnicity: AIAN,What Race Ethnicity: Black,What Race Ethnicity: Hispanic,What Race Ethnicity: White",4,"Hispanic/Latino","Hispanic",517
"What Race Ethnicity: Asian,What Race Ethnicity: Black",2,"Not","Black",488
"What Race Ethnicity: NHPI,What Race Ethnicity: White",2,"Not","Other/Asian",387
"What Race Ethnicity: AIAN,What Race Ethnicity: Black,What Race Ethnicity: Hispanic",3,"Hispanic/Latino","Hispanic",365
"What Race Ethnicity: Asian,What Race Ethnicity: Hispanic,What Race Ethnicity: White",3,"Hispanic/Latino","Hispanic",357
"What Race Ethnicity: Hispanic,What Race Ethnicity: MENA",2,"Hispanic/Latino","Hispanic",260
"What Race Ethnicity: Hispanic,What Race Ethnicity: MENA,What Race Ethnicity: White",3,"Hispanic/Latino","Hispanic",219
"What Race Ethnicity: Asian,What Race Ethnicity: Black,What Race Ethnicity: White",3,"Not","Black",209
"What Race Ethnicity: Black,What Race Ethnicity: NHPI",2,"Not","Black",200
"What Race Ethnicity: AIAN,What Race Ethnicity: Asian,What Race Ethnicity: White",3,"Not","Other/Asian",199
"What Race Ethnicity: Asian,What Race Ethnicity: NHPI,What Race Ethnicity: White",3,"Not","Other/Asian",195
"What Race Ethnicity: Asian,What Race Ethnicity: NHPI",2,"Not","Other/Asian",183
"What Race Ethnicity: Black,What Race Ethnicity: MENA",2,"Not","Black",169
"What Race Ethnicity: AIAN,What Race Ethnicity: MENA,What Race Ethnicity: White",3,"Not","Other/Asian",168
"What Race Ethnicity: AIAN,What Race Ethnicity: Asian,What Race Ethnicity: Black,What Race Ethnicity: White",4,"Not","Black",134
"What Race Ethnicity: Black,What Race Ethnicity: MENA,What Race Ethnicity: White",3,"Not","Black",129
"What Race Ethnicity: Asian,What Race Ethnicity: MENA",2,"Not","Other/Asian",115
"What Race Ethnicity: AIAN,What Race Ethnicity: Asian,What Race Ethnicity: Hispanic,What Race Ethnicity: White",4,"Hispanic/Latino","Hispanic",107
"What Race Ethnicity: Hispanic,What Race Ethnicity: NHPI",2,"Hispanic/Latino","Hispanic",105
"What Race Ethnicity: AIAN,What Race Ethnicity: Black,What Race Ethnicity: MENA,What Race Ethnicity: White",4,"Not","Black",96
"What Race Ethnicity: AIAN,What Race Ethnicity: Black,What Race Ethnicity: Hispanic,What Race Ethnicity: MENA,What Race Ethnicity: White",5,"Hispanic/Latino","Hispanic",83
"What Race Ethnicity: AIAN,What Race Ethnicity: Asian",2,"Not","Other/Asian",82
"What Race Ethnicity: AIAN,What Race Ethnicity: Asian,What Race Ethnicity: Hispanic",3,"Hispanic/Latino","Hispanic",80
"What Race Ethnicity: AIAN,What Race Ethnicity: Asian,What Race Ethnicity: Black",3,"Not","Black",77
