"","Coef","beta","SE","null_value","tstat","df_Satt","p_Satt"
"(Intercept)","(Intercept)",-4.861694791028,0.209704422526946,0,-23.1835587082256,31.7722138994,1.7777335648361e-21
"race5cHispanic","race5cHispanic",-0.101782395226203,0.0546201293056827,0,-1.86345943372957,17.0897955265402,0.0796740842236353
"race5cOther/Asian","race5cOther/Asian",-0.0954283620474323,0.0435093762417698,0,-2.19328269651955,28.6332172911328,0.0365625482663913
"race5cWhite","race5cWhite",-0.0886684963248129,0.0368638852024242,0,-2.40529439145991,21.4498487617907,0.025251827917495
"gender3Woman","gender3Woman",0.19231882633669,0.0251370233598646,0,7.6508194141936,33.6609763234017,7.28227842000774e-09
"gender3Gender Minority","gender3Gender Minority",0.153009047568935,0.0962404165437581,0,1.5898626903736,17.3678881671283,0.129902778095182
"income3Low","income3Low",0.164092767077231,0.0268073619177517,0,6.1211829638697,31.7357209783249,7.90689980264161e-07
"income3Middle","income3Middle",0.0752258310010477,0.0190235037476776,0,3.95436256111503,35.9371193400386,0.000345080975854049
"age_c","age_c",0.00164598442226866,0.000711185859991712,0,2.31442231189445,27.3040157466388,0.0283987206473448
"log_bmi","log_bmi",1.58787368760397,0.0550856557294157,0,28.8255384560313,32.4284195262935,1.10039942290617e-24
"ever_smoker","ever_smoker",0.0123399525536138,0.0163559059065036,0,0.754464633396248,32.7406959841828,0.455962939218059
"education3Low","education3Low",0.160131469083104,0.0334044953522999,0,4.79371016967269,28.7446301620308,4.59090991190609e-05
"education3Middle","education3Middle",0.0913594131872791,0.0247767699124751,0,3.68730119018782,38.1389690678788,0.000703097535630826
"deprivation","deprivation",-0.286047699604476,0.315302953460359,0,-0.907215414461502,14.0804174453111,0.379557462215791
